ASIN,SEARCH TERM,DATE,PAGE NUMBER,RANK,RANK_INC_SPONSORED
B01HSDDY40,poly bags 6x9,2020-10-13,1,found-in-sponsored-products,18
B01HSDDY40,poly bags 6x9,2020-10-13,2,78,97
B01630QDCY,poly bags 11x14,2020-10-13,1,found-in-sponsored-products,18
B01630QDCY,poly bags 11x14,2020-10-13,1,14,21
B06XDGXGF4,poly bags 12x16,2020-10-13,1,10,11
B01630QFOA,poly bags 14x20,2020-10-13,,error: unable to click next page after: 6 clicks,
B01HSDDZ26,poly bags 8x10,2020-10-13,1,found-in-sponsored-products,59
B01HSDDZ26,poly bags 8x10,2020-10-13,2,100,120
B00XKL0P3I,poly bags 9x12,2020-10-13,1,15,22
B01HSDDY40,self seal poly bags 6x9,2020-10-13,1,8,12
B01630QDCY,self seal poly bags 11x14,2020-10-13,1,5,9
B06XDGXGF4,self seal poly bags 12x16,2020-10-13,1,7,9
B01630QFOA,self seal poly bags 14x20,2020-10-13,,error: unable to click next page after: 7 clicks,
B01HSDDZ26,self seal poly bags 8x10,2020-10-13,1,19,27
B00XKL0P3I,self seal poly bags 9x12,2020-10-13,1,9,13
